trace,label,freq
tran1 tran3 tran18 tran21 tran23 tran24 tran28 tran32 tran33,1,2455
tran1 tran3 tran18 tran19 tran33,1,2414
tran1 tran3 tran20 tran23 tran25 tran26 tran27 tran28 tran29 tran30 tran31 tran33,1,2235
tran1 tran3 tran18 tran21 tran22 tran28 tran32 tran33,1,2218
tran1 tran3 tran20 tran23 tran25 tran26 tran27 tran28 tran32 tran33,1,2208
tran1 tran3 tran20 tran22 tran28 tran29 tran30 tran31 tran33,1,2197
tran1 tran2 tran5 tran6 tran10 tran13 tran14 tran15,1,2137
tran1 tran2 tran5 tran7 tran8 tran9 tran10 tran12 tran15,1,2085
tran1 tran3 tran20 tran23 tran24 tran28 tran32 tran33,1,2084
tran1 tran2 tran5 tran7 tran8 tran9 tran10 tran13 tran14 tran15,1,1893
tran1 tran2 tran5 tran7 tran8 tran11 tran16 tran17,1,1892
tran1 tran2 tran4 tran10 tran12 tran15,1,1892
tran1 tran3 tran20 tran23 tran25 tran26 tran34 tran35 tran36,1,1852
tran1 tran2 tran4 tran10 tran13 tran14 tran15,1,1793
tran1 tran3 tran18 tran21 tran23 tran25 tran26 tran27 tran28 tran29 tran30 tran31 tran33,1,1723
tran1 tran3 tran18 tran21 tran23 tran25 tran26 tran27 tran28 tran32 tran33,1,1697
tran1 tran3 tran20 tran22 tran28 tran32 tran33,1,1682
tran1 tran3 tran18 tran21 tran23 tran25 tran26 tran34 tran35 tran36,1,1643
tran1 tran2 tran5 tran6 tran10 tran12 tran15,1,1618
tran1 tran3 tran18 tran21 tran22 tran28 tran29 tran30 tran31 tran33,1,1558
tran1 tran3 tran18 tran21 tran23 tran24 tran28 tran29 tran30 tran31 tran33,1,1545
tran1 tran3 tran20 tran23 tran24 tran28 tran29 tran30 tran31 tran33,1,1501
tran1 tran3 tran20 tran22 tran28 tran33,1,34
devTran1 tran1 tran3 tran23 tran24 tran28 tran32 tran33,1,33
tran1 tran2 tran5 tran10 tran12 tran15,1,31
tran1 tran3 tran28 tran29 tran30 tran31 tran33,1,22
tran1 tran2 tran5 tran6 tran10 tran15,1,22
tran1 tran3 tran18 devTran1 tran21 tran23 tran24 tran28 tran29 tran30 tran31 tran33,1,20
tran1 tran2 devTran1 tran5 tran7 tran8 tran11 tran16 tran17,1,20
tran2 tran5 tran7 devTran1 tran8 tran11 tran16 tran17,1,20
tran1 tran2 devTran1 tran5 tran7 tran8 tran11 tran16 devTran2 tran17,1,20
tran1 tran2 tran5 tran7 devTran1 tran8 tran11 devTran2 tran16 tran17,0,20
tran1 tran2 tran5 tran8 tran11 tran16 tran17,1,20
tran2 tran5 tran7 tran8 tran11 devTran1 tran16 tran17,1,20
tran1 tran2 tran5 tran7 tran8 tran11 tran16 tran17 devTran1,1,20
tran1 tran3 tran18 tran21 tran23 tran25 devTran1 tran26 tran34 devTran2 tran35,1,20
tran1 tran18 tran23 tran25 tran26 tran34 tran35,1,20
tran1 tran3 tran18 tran21 devTran2 tran23 tran25 tran26 tran34 tran35 tran36 devTran1,1,20
tran1 tran3 tran18 devTran1 tran21 tran23 tran25 tran26 tran34 tran35 tran36,1,20
tran1 tran20 tran23 tran24 tran28 tran32 tran33,1,20
tran3 tran20 tran23 tran24 tran28 tran33,1,20
tran1 tran3 tran20 tran24 tran32 tran33,0,20
tran1 tran3 tran20 tran23 tran24 tran28 tran32 tran33 devTran1,1,20
devTran1 tran1 tran3 tran20 tran23 devTran2 tran24 tran28 tran32 tran33,1,20
tran1 tran20 tran23 tran24 tran28 tran33,0,20
tran1 tran3 tran20 devTran1 tran24 tran28 tran32 tran33,1,20
tran1 devTran1 tran18 tran19 tran33,1,20
tran3 tran18 tran19 tran33 devTran1,1,20
tran1 tran3 devTran2 tran18 tran19 devTran1 tran33,0,20
devTran1 tran1 tran18 tran19 tran33,1,20
tran1 tran3 tran19,0,20
tran1 tran3 tran20 tran22 tran28 devTran1 tran32 tran33,1,20
tran1 tran3 tran22 devTran1 tran28 tran32 tran33,0,20
tran1 tran3 tran21 tran23 devTran1 tran24 tran28 tran32,0,20
tran1 tran3 tran18 tran21 devTran1 tran24 tran28 tran32 tran33,1,20
tran1 tran3 tran21 tran28 tran32 tran33,0,20
devTran1 tran1 tran3 tran18 tran21 tran23 tran24 tran28 tran32 tran33 devTran2,1,20
tran1 tran3 tran18 devTran1 tran21 devTran2 tran23 tran24 tran28 tran32 tran33,1,20
tran1 tran3 devTran1 tran20 tran23 tran24 tran29 tran30 tran31 tran33,1,20
tran1 tran3 tran18 tran21 tran23 tran25 tran26 tran27 tran28 tran29 devTran1 tran30 tran31 tran33,1,20
tran1 tran3 tran18 tran21 tran23 tran25 tran26 tran27 tran28 tran29 tran31 tran33,1,20
tran1 tran3 tran21 tran23 tran26 tran27 tran28 tran30 devTran1 tran31 tran33,0,20
tran1 tran3 tran20 tran23 tran25 tran26 tran28 tran30 devTran1 tran31,1,20
tran1 tran20 tran23 tran25 tran26 tran27 tran28 tran29 tran30 tran31 tran33,1,20
tran1 tran2 tran5 tran7 devTran1 tran8 tran9 tran10 tran13 tran14 tran15,1,20
tran1 tran3 tran20 devTran1 tran23 tran25 tran26 tran34 tran35 tran36,1,20
tran3 tran20 tran25 tran34 tran35 tran36,0,20
tran1 tran3 tran20 tran23 tran25 tran26 tran34 tran35,1,20
tran1 tran3 devTran2 tran20 tran23 tran26 tran27 tran28 tran32 tran33 devTran1,1,20
tran1 tran3 tran20 tran25 tran27 devTran1 tran28 tran32 tran33,0,20
tran1 tran3 devTran2 tran20 tran23 tran25 tran26 devTran1 tran27 tran28 tran33,0,20
tran1 devTran2 tran3 tran20 tran23 tran25 tran26 tran27 tran28 tran32 tran33 devTran1,1,20
tran1 tran3 tran20 tran26 tran28 tran32 tran33,1,20
tran3 tran20 tran23 tran25 tran26 tran27 tran28 devTran1 tran32 tran33,1,20
tran1 tran3 tran18 tran21 tran28 devTran1 tran29 tran30 tran31 tran33,1,20
tran2 tran4 tran10 tran12 tran15,1,20
tran1 tran2 devTran2 tran4 tran10 tran12 devTran1 tran15,0,20
tran1 tran3 tran18 tran21 tran22 tran28 tran33,1,20
tran1 devTran1 tran3 tran21 tran22 tran28 tran32 tran33,1,20
devTran1 tran1 tran3 tran21 tran22 tran28 tran32 tran33,1,20
devTran1 tran1 tran3 tran18 tran21 tran22 tran32 tran33,1,20
tran1 tran3 tran18 tran21 tran22 devTran1 tran28 tran32,1,20
tran1 tran2 tran5 tran6 tran10 tran13 tran14 devTran1 tran15,1,20
tran1 tran5 tran10 tran13 tran14 tran15,1,20
tran1 tran2 tran4 devTran1 tran10 devTran2 tran13 tran14 tran15,0,20
tran1 tran2 tran4 tran10 tran14 devTran1 tran15,1,20
tran1 devTran1 tran2 tran5 tran7 tran8 tran9 tran10 tran12 tran15,1,20
tran1 tran2 tran8 tran9 tran12 tran15,0,20
tran2 tran5 tran7 tran8 tran9 tran12 tran15,1,20
tran3 tran18 devTran1 tran21 tran23 tran25 tran26 tran27 tran28 tran32 tran33,1,20
tran3 tran18 tran21 tran23 tran25 tran26 tran27 devTran1 tran32 tran33,1,20
tran1 tran3 tran20 tran22 devTran1 tran29 tran30 tran31 tran33,1,20
tran1 devTran1 tran3 tran20 tran28 tran30 tran31 tran33,0,20
tran1 tran3 tran20 tran22 tran28 tran29 devTran1 tran30 tran31 tran33,1,20
tran1 tran3 tran20 tran22 tran29 tran30 tran31 tran33,1,20
tran1 tran3 tran18 tran21 tran23 tran24 devTran2 tran28 tran29 tran30 devTran1 tran31 tran33,1,19
tran1 tran3 tran18 tran21 tran23 tran24 tran28 tran29 tran30 devTran2 tran31 tran33 devTran1,1,19
tran1 tran3 tran18 tran21 tran23 tran24 tran29 tran31 tran33 devTran1,1,19
tran1 tran3 tran21 tran23 tran24 tran28 tran29 tran30 tran31 tran33,1,19
tran1 tran3 tran18 tran21 tran23 tran28 tran30 tran31 devTran1 tran33,1,19
tran1 tran3 tran18 tran21 devTran1 tran23 tran24 tran28 tran29 tran30 tran31 tran33,1,19
