trace,freq,label,lof_scores,lof_pred,kmeans_pred,spectral_pred
Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,2366,1.0,0.4737693825183777,1,1.0,1.0
Assign_seriousness Take_in_charge_ticket Wait Resolve_ticket Closed,552,1.0,0.5068479302706043,1,1.0,1.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,228,1.0,0.4024875451357613,1,1.0,1.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,213,1.0,0.4172266565223354,1,1.0,1.0
Assign_seriousness Resolve_ticket Closed,164,1.0,0.5590721954135571,1,1.0,1.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Resolve_ticket Closed,109,1.0,0.3361826644251896,1,1.0,0.0
Insert_ticket Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,69,1.0,0.4632009499971276,1,1.0,0.0
Assign_seriousness Resolve_ticket Resolve_ticket Closed,62,1.0,0.5803175475381948,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed,48,1.0,0.4078143131847659,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Require_upgrade Resolve_ticket Closed,40,1.0,0.423503908417539,1,1.0,0.0
Take_in_charge_ticket Resolve_ticket Closed,37,1.0,0.425355758057358,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Take_in_charge_ticket Resolve_ticket Closed,36,1.0,0.4687422080091842,1,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,35,1.0,0.45113915944693855,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Resolve_ticket Closed,28,1.0,0.42062383791517555,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Wait Resolve_ticket Closed,27,1.0,0.7104525697191578,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Take_in_charge_ticket Resolve_ticket Closed,21,1.0,0.46031782494400386,1,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Wait Resolve_ticket Closed,21,1.0,0.7601396004664724,1,1.0,0.0
Take_in_charge_ticket Wait Resolve_ticket Closed,21,1.0,1.0131223128632598,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Create_SW_anomaly Resolve_ticket Closed,20,1.0,0.4319171732040784,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,19,1.0,0.3851025705278073,1,1.0,0.0
Assign_seriousness Assign_seriousness Resolve_ticket Closed,18,1.0,0.7351467119578867,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,17,1.0,0.7566519511499059,1,1.0,0.0
Assign_seriousness Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,16,1.0,0.7902081346692225,1,1.0,0.0
Assign_seriousness Wait Take_in_charge_ticket Resolve_ticket Closed,15,1.0,0.6023531869915144,1,1.0,0.0
Assign_seriousness Wait Resolve_ticket Closed,14,1.0,0.5624681648104988,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Resolve_ticket Resolve_ticket Closed,11,1.0,0.7855226140424049,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed,10,1.0,0.46507027778899795,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Take_in_charge_ticket Wait Resolve_ticket Closed,9,1.0,1.1716993834499188,1,1.0,0.0
Insert_ticket Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,8,1.0,0.791392551432927,1,1.0,0.0
