trace,freq,label,lof_scores,lof_pred,dbscan_pred,spectral_pred
NEW CHANGE_DIAGN FIN RELEASE CODE_OK BILLED,33673,1.0,0.8067120990435057,1,1.0,1.0
NEW FIN RELEASE CODE_OK BILLED,20902,1.0,532903.6120707906,0,1.0,1.0
NEW CHANGE_DIAGN CHANGE_DIAGN FIN RELEASE CODE_OK BILLED,2121,1.0,0.4493398843586756,1,1.0,1.0
NEW CHANGE_DIAGN DELETE,1555,1.0,0.42934836102766377,1,1.0,1.0
NEW FIN RELEASE CODE_NOK BILLED,977,1.0,0.5172783843139266,1,1.0,1.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK REOPEN FIN RELEASE CODE_OK BILLED,869,1.0,0.44857759444160644,1,1.0,0.0
NEW FIN RELEASE CODE_OK BILLED CODE_OK,512,1.0,0.4762305429162758,1,1.0,0.0
NEW FIN RELEASE CODE_NOK EMPTY,400,1.0,0.4428569488902481,1,1.0,0.0
NEW FIN RELEASE BILLED,359,1.0,0.40296018809942175,1,1.0,1.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK BILLED STORNO REJECT BILLED,314,1.0,0.4532240333515726,1,1.0,0.0
NEW FIN RELEASE CODE_OK REOPEN FIN RELEASE CODE_OK BILLED,273,1.0,0.46252101204213286,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK BILLED STORNO REJECT REOPEN FIN RELEASE CODE_OK BILLED,272,1.0,0.4194204325553433,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK BILLED STORNO BILLED,256,1.0,0.5924659703392742,1,1.0,0.0
NEW FIN RELEASE CODE_NOK SET_STATUS,230,1.0,0.43898703667859684,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK REOPEN DELETE,229,1.0,0.3141119295782801,1,1.0,0.0
NEW FIN RELEASE CODE_OK BILLED STORNO BILLED,214,1.0,0.3709986504622013,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE CODE_NOK CODE_OK BILLED,206,1.0,0.47186533662485985,1,1.0,0.0
NEW FIN RELEASE CODE_OK REOPEN DELETE,204,1.0,0.38301562245170456,1,1.0,0.0
NEW FIN RELEASE CODE_NOK REOPEN DELETE,176,1.0,0.35157154018335596,1,1.0,0.0
NEW FIN DELETE,166,1.0,0.36819862249661817,1,1.0,1.0
NEW FIN RELEASE CODE_OK BILLED STORNO REJECT REOPEN DELETE,165,1.0,0.36743432775999796,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK BILLED CODE_OK,162,1.0,0.7199603243839838,1,1.0,0.0
NEW CHANGE_DIAGN CHANGE_DIAGN CHANGE_DIAGN FIN RELEASE CODE_OK BILLED,160,1.0,0.6773707886879364,1,1.0,1.0
NEW FIN RELEASE CODE_OK CODE_OK BILLED,140,1.0,0.9440052901507311,1,1.0,0.0
NEW FIN RELEASE CODE_OK BILLED STORNO REJECT BILLED,131,1.0,0.4792537824090852,1,1.0,0.0
NEW FIN RELEASE DELETE,125,1.0,0.6901106376718726,1,1.0,0.0
NEW FIN RELEASE CODE_OK RELEASE CODE_OK BILLED,110,1.0,1.0580468016025668,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE CODE_OK BILLED STORNO BILLED STORNO BILLED,104,1.0,0.7064174380025884,1,1.0,0.0
NEW CHANGE_DIAGN FIN RELEASE REOPEN FIN RELEASE CODE_OK BILLED,98,1.0,0.41325245528867877,1,1.0,0.0
NEW FIN RELEASE CODE_NOK CODE_OK BILLED,97,1.0,0.3952684674554173,1,1.0,0.0
