trace,freq,label,outlier,pred_label
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,4618,1,0.596041299165478,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,2473,1,0.7961773258925605,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,1392,1,0.7481306824558018,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_PRE_APPROVER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,575,1,0.39036880663466306,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,345,1,0.4451350380406203,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,188,1,0.4082758055381141,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE,174,1,0.3683936830958795,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_REJECTED_by_SUPERVISOR Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,77,1,0.35743865906962197,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_PRE_APPROVER Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_PRE_APPROVER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,57,1,0.4205617691255065,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_REJECTED_by_SUPERVISOR Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,49,1,0.4423890964733693,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_FINAL_APPROVED_by_SUPERVISOR Declaration_REJECTED_by_MISSING Declaration_SUBMITTED_by_EMPLOYEE Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,40,1,0.43127036557242315,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,36,1,0.720718335197971,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_REJECTED_by_SUPERVISOR Declaration_REJECTED_by_EMPLOYEE,31,1,0.46089106437704686,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,29,1,0.6292132578188185,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_SUPERVISOR Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,22,1,0.4157182625276202,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_FINAL_APPROVED_by_SUPERVISOR Declaration_REJECTED_by_MISSING,21,1,0.8731054833211072,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_REJECTED_by_BUDGET_OWNER Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,20,1,0.5652423043064758,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_SUPERVISOR Declaration_REJECTED_by_EMPLOYEE,18,1,0.9126598232785536,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_REJECTED_by_BUDGET_OWNER Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,14,1,0.6559238851524813,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_REJECTED_by_ADMINISTRATION Declaration_REJECTED_by_EMPLOYEE,11,1,0.8830470012611376,1
Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_REJECTED_by_SUPERVISOR Declaration_REJECTED_by_EMPLOYEE Declaration_SUBMITTED_by_EMPLOYEE Declaration_APPROVED_by_ADMINISTRATION Declaration_APPROVED_by_BUDGET_OWNER Declaration_FINAL_APPROVED_by_SUPERVISOR Request_Payment Payment_Handled,10,1,0.8858679237215459,1
